iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
MWI,2012,1.329,22.045,391.561832360636
MWI,2017,2.228,35.347,356.717573153369
MYS,2008,106.896,44.216,8474.57582207634
MYS,2012,196.86399,61.627,10817.4428742856
MYS,2017,217.92661,68.325,10117.569032569
MYT,2008,NA,NA,NA
MYT,2012,NA,NA,NA
MYT,2017,NA,NA,NA
NAC,2008,NA,NA,48215.1117887716
NAC,2012,NA,NA,51703.2673378574
NAC,2017,NA,NA,58434.030875745
NAM,2008,1.913756,22.55,4153.24793794677
NAM,2012,4.629793,35.569,5930.54847260768
NAM,2017,7.025181,51.744,5646.45600733184
NCL,2008,NA,NA,NA
NCL,2012,NA,NA,NA
NCL,2017,NA,NA,NA
NER,2008,0.9615,17.81,352.719974948162
NER,2012,2.3554,33.928,390.119909653729
NER,2017,3.7457,45.6,375.869489673522
NFK,2008,NA,NA,NA
NFK,2012,NA,NA,NA
NFK,2017,NA,NA,NA
NGA,2008,13.1289,3.975,2242.8718855369402
NGA,2012,18.1274,3.933,2746.99178858383
NGA,2017,40.2385,10.708,1968.55958830544
NGA_Kano,2008,NA,NA,NA
NGA_Kano,2012,NA,NA,NA
NGA_Kano,2017,NA,NA,NA
NIC,2008,4.7183,55.529,1499.26207183019
NIC,2012,8.8823,84.336,1760.46056961056
NIC,2017,11.4571,82.761,2168.19123997963
NIGE,2008,NA,NA,NA
NIGE,2012,NA,NA,NA
NIGE,2017,NA,NA,NA
NIU,2008,NA,NA,NA
NIU,2012,NA,NA,NA
NIU,2017,NA,NA,NA
NLD,2008,NA,NA,57644.4799749353
NLD,2012,NA,NA,50073.0056559308
NLD,2017,NA,NA,48482.766210439
NOR,2008,NA,NA,97007.9418918692
NOR,2012,NA,NA,101668.170658652
NOR,2017,NA,NA,75704.2486981247
